"X","Id","Titre","Auteurs","Description","Date"
11,3170,"An Approach to the Description and Analysis of Hybrid Systems","A. Olivero; J. Sifakis; S. Yovine; X. Nicollin;","Introduction The paper presents a model for hybrid systems, that is, systems that combine discrete and continuous components. Such systems are usually reactive real-time systems used to control an environment evolving over time. A main assumption is that a run of a hybrid system is a sequence of two-phase steps. The first phase of a step corresponds to a continuous state transformation usually described in terms of some parameter representing the time elapsed during this phase. In the second phase the state is submitted to a discrete change taking zero time. To illustrate this assumption, consider a temperature regulator commanding a heater so as to maintain the temperature ` of a room between two given bounds ` min and ` max . A run of such a system is a sequence of steps determined by the alternating state changes of the heater from ON to OFF<F26.","1999-03-15"
12,3175,"Parametric Real-time Reasoning","Moshe Y. Vardi; Rajeev Alur; Thomas A. Henzinger;",". Traditional approaches to the algorithmic verification of real-time systems are limited to checking program correctness with respect to concrete timing properties (e.g., ""message delivery within 10 milliseconds""). We address the more realistic and more ambitious problem of deriving symbolic constraints on the timing properties required of real-time systems (e.g., ""message delivery within the time it takes to execute two assignment statements""). To model this problem, we introduce parametric timed automata --- finite-state machines whose transitions are constrained with parametric timing requirements. The emptiness question for parametric timed automata is central to the verification problem. On the negative side, we show that in general this question is undecidable. On the positive side, we provide algorithms for checking the emptiness of restricted classes of parametric timed automata. The practical relevance of these classes is illustrated with several verification examples. There ...","1997-06-17"
13,3177,"A Heuristic Estimator for Means-Ends Analysis in Planning","Drew Mcdermott;","Means-ends analysis is a seemingly well understood search technique, which can be described, using planning terminology, as: keep adding actions that are feasible and achieve pieces of the goal. Unfortunately, it is often the case that no action is both feasible and relevant in this sense. The traditional answer is to make subgoals out of the preconditions of relevant but infeasible actions. These subgoals become part of the search state. An alternative, surprisingly good, idea is to recompute the entire subgoal hierarchy after every action. This hierarchy is represented by a greedy regression-match graph. The actions near the leaves of this graph are feasible and relevant to a sub. . . subgoals of the original goal. Furthermore, each subgoal is assigned an estimate of the number of actions required to achieve it. This number can be shown in practice to be a useful heuristic estimator for domains that are otherwise intractable. Keywords: planning, search, means-ends analysis Reinven...","1999-03-09"
14,3651,"Data Model and Query Evaluation in Global Information Systems","Alon Y. Levy; Thomas Kirk;",". Global information systems involve a large number of information sources distributed over computer networks. The variety of information sources and disparity of interfaces makes the task of easily locating and efficiently accessing information over the network very cumbersome. We describe an architecture for global information systems that is especially tailored to address the challenges raised in such an environment, and distinguish our architecture from architectures of multidatabase and distributed database systems. Our architecture is based on presenting a conceptually unified view of the information space to a user, specifying rich descriptions of the contents of the information sources, and using these descriptions for optimizing queries posed in the unified view. The contributions of this paper include: (1) we identify aspects of site descriptions that are useful in query optimization; (2) we describe query optimization techniques that minimize the number of information source...","1996-12-10"
15,3776,"Generalization in Reinforcement Learning: Safely Approximating the Value Function","Andrew W. Moore; Justin A. Boyan;","To appear in: G. Tesauro, D. S. Touretzky and T. K. Leen, eds., Advances in Neural Information Processing Systems 7, MIT Press, Cambridge MA, 1995. A straightforward approach to the curse of dimensionality in reinforcement learning and dynamic programming is to replace the lookup table with a generalizing function approximator such as a neural net. Although this has been successful in the domain of backgammon, there is no guarantee of convergence. In this paper, we show that the combination of dynamic programming and function approximation is not robust, and in even very benign cases, may produce an entirely wrong policy. We then introduce Grow-Support, a new algorithm which is safe from divergence yet can still reap the benefits of successful generalization. 1 INTRODUCTION Reinforcement learning---the problem of getting an agent to learn to act from sparse, delayed rewards---has been advanced by techniques based on dynamic programming (DP). These algorithms compute a value function ...","1995-02-07"
16,3950,"Efficient Scaling-Invariant Checking of Timed Bisimulation","Carsten Weise; Dirk Lenzkes; Lehrstuhl Fur Informatik I;",". Bisimulation is an important notion for the verification of distributed systems. Timed bisimulation is its natural extension to real time systems. Timed bisimulation is known to be decidable for timed automata using the so-called region technique. We present a new, top down approach to timed bisimulation which applies the zone technique from the theory of hybrid systems. In contrast to the original decision algorithm, our method has a better space complexity and is scaling invariant: altering the time scale does not effect the space complexity. 1 Introduction Strong and weak bisimulation ([Mil89]) are useful notions of equivalence for the verification and analysis of distributed systems. Timed bisimulation is the suitable notion of bisimulation for real-time systems. We use timed graphs (or timed automata) ([NSY93,HNSY92,AD94,AC+95]) as the specification formalism for real time systems. Timed graph use the positive reals as time domain. While trace-based equivalences for timed autom...","1997-10-29"
17,4526,"Random Early Detection Gateways for Congestion Avoidance","Sally Floyd; Van Jacobson;","This paper presents Random Early Detection (RED) gateways for congestion avoidance in packet switched networks. The gateway detects incipient congestion by computing the average queue size. The gateway could notify connections of congestion either by dropping packets arriving at the gateway or by setting a bit in packet headers. When the average queue size exceeds a preset threshold, the gateway drops or marks each arriving packet with a certain probability, where the exact probability is a function of the average queue size. RED gateways keep the average queue size low while allowing occasional bursts of packets in the queue. During congestion, the probability that the gateway notifies a particular connection to reduce its window is roughly proportional to that connection's share of the bandwidth through the gateway. RED gateways are designed to accompany a transport-layer congestion control protocol such as TCP. The RED gateway has no bias against bursty traffic and avoids the global ...","1997-12-03"
18,4897,"Implicit and Incremental Computation of Primes and Essential Primes of Boolean functions","J. C. Madre; O. Coudert;","Recently introduced implicit set manipulation techniques have made it possible to formally verify finite state machines with state graphs too large to be built. This paper shows that these techniques can also be used with success to compute and manipulate implicitly extremely large sets of prime and of essential prime implicants of incompletely specified Boolean functions. These sets are denoted by meta-products that are represented with binary decision diagrams. This paper describes two procedures. One is based on the standard BDD operators, and the other, more efficient, takes advantage of the structural properties of BDDs and of meta-products to handle a larger class of functions than the former one. 1 Introduction We have recently introduced a technique [ 4 ] for verifying finite state machines that can deal with machines with state graphs too large to be built. The key concepts that make this verification possible are to denote subsets of f0; 1g @ with their characteristic fu...","1995-08-05"
19,4913,"Resource Spackling: A Framework for Integrating Register Allocation in Local and Global Schedulers","David A. Berson; Mary Lou Soffa; Rajiv Gupta;",": We present Resource Spackling, a framework for integrating register allocation and instruction scheduling that is based on a Measure and Reduce paradigm. The technique measures the resource requirements of a program and uses the measurements to distribute code for better resource allocation. The technique is applicable to the allocation of different types of resources. A program's resource requirements for both register and functional unit resources are first measured using a unified representation. These measurements are used to find areas where resources are either under or over utilized, called resource holes and excessive sets, respectively. Conditions are determined for increasing resource utilization in the resource holes. These conditions are applicable to both local and global code motion. 1 Introduction A variety of local and global scheduling techniques have been developed for exploiting instruction level parallelism. The degree of parallelism in the schedule is affected...","1996-09-16"
20,5101,"A System for Induction of Oblique Decision Trees","Simon Kasif; Sreerama K. Murthy; Steven Salzberg;","This article describes a new system for induction of oblique decision trees. This system, OC1, combines deterministic hill-climbing with two forms of randomization to find a good oblique split (in the form of a hyperplane) at each node of a decision tree. Oblique decision tree methods are tuned especially for domains in which the attributes are numeric, although they can be adapted to symbolic or mixed symbolic/numeric attributes. We present extensive empirical studies, using both real and artificial data, that analyze OC1's ability to construct oblique trees that are smaller and more accurate than their axis-parallel counterparts. We also examine the benefits of randomization for the construction of oblique decision trees. 1. Introduction Current data collection technology provides a unique challenge and opportunity for automated machine learning techniques. The advent of major scientific projects such as the Human Genome Project, the Hubble Space Telescope, and the human brain mappi...","1994-11-04"
21,5266,"Minimizing ROBDD Sizes of Incompletely Specified Boolean Functions by Exploiting Strong Symmetries","Christoph Scholl; Gunter Hotz; Paul Molitor; Stephan Melchior;","We present a method computing a minimum sized partition of the variables of an incompletely specified Boolean function into symmetric groups. The method can be used during minimization of robdds of incompletely specified Boolean functions. We apply it as a preprocessing step of symmetric sifting presented by Panda [24] and Moller [20] and of techniques for robdd minimization of incompletely specified Boolean functions presented by Chang [6] and Shiple [28]. The technique is shown to be very effective: it improves robdd sizes of symmetric sifting by a factor of 51% and by a factor of 70% in combination with a slightly modified version of the technique of Chang and Shiple. 1 Introduction Binary Decision Diagrams (BDDs) as a data structure for representation of Boolean functions were first introduced by Lee [17] and further popularized by Akers [1] and Moret [21]. In the restricted form of reduced ordered BDDs (robdds) they gained widespread application because robdds are a canonical r...","1997-04-18"
22,5476,"Quantitative Analysis and Model Checking","Marta Kwiatkowska; Michael Huth;","Many notions of models in computer science provide quantitative information, or uncertainties, which necessitate a quantitative model checking paradigm. We present such a framework for reactive and generative systems based on a non-standard interpretation of the modal mu-calculus, where ¯x:OE/x:OE are interpreted as least/greatest fixed points over the infinite lattice of maps from states to the unit interval. By letting formulas denote lower bounds of probabilistic evidence of properties, the values computed by our quantitative model checker can serve as satisfactory correctness guarantees in cases where conventional qualitative model checking fails. Since fixed point iteration in this infinite domain is computationally unfeasible, we establish that the computation of fixed points may be restated as a conventional, and on average efficient, optimization problem in linear programming; this holds for a fragment of the modal mu-calculus which subsumes CTL. Our semantics induces a state e...","1997-03-21"
23,6008,"Receiver-driven Layered Multicast","Martin Vetterli; Steven Mccanne; Van Jacobson;","State of the art, real-time, rate-adaptive, multimedia applications adjust their transmission rate to match the available network capacity. Unfortunately, this source-based rate-adaptation performs poorly in a heterogeneous multicast environment because there is no single target rate --- the conflicting bandwidth requirements of all receivers cannot be simultaneously satisfied with one transmission rate. If the burden of rate-adaption is moved from the source to the receivers, heterogeneity is accommodated. One approach to receiver-driven adaptation is to combine a layered source coding algorithm with a layered transmission system. By selectively forwarding subsets of layers at constrained network links, each user receives the best quality signal that the network can deliver. We and others have proposed that selective-forwarding be carried out using multiple IP-Multicast groups where each receiver specifies its level of subscription by joining a subset of the groups. In this paper, we ...","1998-10-26"
24,6497,"Efficient Verification of Real-Time Systems: Compact Data Structures and State-Space Reduction","Kim G. Larsen; Wang Yi;",". During the past few years, a number of verification tools have been developed for real-time systems in the framework of timed automata. One of the major problems in applying these tools to industrial-sized systems is the huge memory-usage for the exploration of the state space of a network (or product) of timed automata, as the model-checkers must keep information about not only the control structure of the automata but also the clock values specified by clock constraints. In this paper, we present a compact data structure for representing clock constraints. The data structure is based on an O(n 3 ) algorithm which, given a constraint system over real-valued variables consisting of bounds on differences, constructs an equivalent system with a minimal number of constraints. In addition, we have developed an on-the-fly reduction technique to minimize the space-usage. Based on static analysis of the control structure of a network of timed automata, we are able to compute a set of symbo...","1999-01-09"
25,6885,"PCCTS Reference Manual - Version 1.00","H. G. Dietz; T. J. Parr; W. E. Cohen;","Syntax-Trees. Default is not to generate trees. -gc Do not generate output parser code or lexical description (implies -gx). This option can be used to check a grammar for ambiguities. Default is to generate parsers. -ge Generate an error class for each non-terminal of the form #errclass Rule { rule } Default is not to generate the classes. -gs When a token in the current look-ahead needs to be compared against two or more tokens, code for set membership is generated rather than a set of integer comparisons. This renders the parsers more efficient, but much more difficult to read for a human. When debugging an ANTLR parser with a source level debugger, this command-line option should be used to create more readable parsers. The default is to generate sets for any token expression list with two or more members. -gd Generate debugging code; trace rule invocation. This command-line option forces ANTLR to generate code that calls zzTRACE() with the rule name in which it appears as an ...","1994-09-13"
26,7099,"Two examples of verification of multirate timed automata with Kronos","C. Daws; S. Yovine;","Multirate timed automata [2] are an extension of timed automata [3] where each clock has its own speed varying between a lower and an upper bound that may change from one control location to another. This formalism is well-suited for specifying hybrid systems where the dynamics of the continuous variables are defined or can be approximated by giving the minimal and maximal rate of change. To avoid the difficulties inherent in the verification of multirate timed automata, we follow the approach suggested in [8]. This approach consists of first transforming the multirate timed automata into timed automata and then applying the symbolic techniques implemented in Kronos. We show the practical interest of this approach analyzing two examples recently proposed in the literature and considered to be realistic case studies: the manufacturing plant of [10] and the Philips audio control protocol [4, 7]. 1 Introduction Multirate timed automata [2] are an extension of timed automata [3] where clo...","1996-09-09"
27,7624,"Modularity for Timed and Hybrid Systems","Rajeev Alur; Thomas A. Henzinger;","In a trace-based world, the modular specification, verification, and control of live systems require each module to be receptive; that is, each module must be able to meet its liveness assumptions no matter how the other modules behave. In a real-time world, liveness is automatically present in the form of diverging time. The receptiveness condition, then, translates to the requirement that a module must be able to let time diverge no matter how the environment behaves. We study the receptiveness condition for real-time systems by extending the model of reactive modules to timed and hybrid modules. We define the receptiveness of such a module as the existence of a winning strategy in a game of the module against its environment. By solving the game on region graphs, we present an (optimal) EXPTIME algorithm for checking the receptiveness of propositional timed modules. By giving a fixpoint characterization of the game, we present a symbolic procedure for checking the receptiveness of linear hybrid modules. Finanly, we present an assume-guarantee principle for reasoning about timed and hybrid modules, and a method for synthesizing receptive controllers of timed and hybrid modules.","1997-06-17"
28,7844,"An Embedding of Timed Transition Systems in HOL","John Herbert; Rachel Cardell-oliver; Roger Hale;","The theory of Timed Transition Systems (TTSs) developed by Henzinger, Manna and Pnueli provides a formal framework for specifying and reasoning about realtime systems. In this theory a system is described by a set of state transitions with associated time constraints. We report on work in progress to mechanize the published theory of timed transition systems using the HOL theorem prover. Different specification languages may be defined in terms of the TTS model. In particular, a real-time temporal logic (RTTL) has been used for specifying requirements and a graphical notation for specifying system designs. A semantics for each of these languages can be given in terms of TTSs, which can in turn be represented in the HOL logic, and these common semantic interpretations enable formal proofs that one specification satisfies another. 1 Introduction The theory of Timed Transition Systems developed by Henzinger, Manna and Pnueli provides a formal framework for specifying and reasoning about ...","1997-03-27"
29,7960,"Partial-Order Methods for the Verification of Concurrent Systems - An Approach to the State-Explosion Problem","Patrice Godefroid;","State-space exploration techniques are increasingly being used for debugging and proving correct finite-state concurrent reactive systems. The reason for this success is mainly the simplicity of these techniques. Indeed, they are easy to understand, easy to implement and, last but not least, easy to use: they are fully automatic. Moreover, the range of properties that they can verify has been substantially broadened thanks to the development of model-checking methods for various temporal logics. The main limit of state-space exploration verification techniques is the often excessive size of the state space due, among other causes, to the modeling of concurrency by interleaving. However, exploring all interleavings of concurrent events is not a priori necessary for verification: interleavings corresponding to the same concurrent execution contain related information. One can thus hope to be able to verify properties of a concurrent system without exploring all interleavings of its concu...","1995-01-10"
30,8069,"Composite Model Checking with Type Specific Symbolic Encodings","Richard Gerber; Tevfik Bultan;","We present a new symbolic model checking technique, which analyzes temporal properties in multityped transition systems. Specifically, the method uses multiple type-specific data encodings to represent system states, and it carries out fixpoint computations via the corresponding type-specific symbolic operations. In essence, different symbolic encodings are unified into one composite model checker. Any type-specific language can be included in this framework -- provided that the language is closed under Boolean connectives, propositions can be checked for satisfiability, and relational images can be computed. Our technique relies on conjunctive partitioning of transition relations of atomic events based on variable types involved, which allows independent computation of one-step pre- and post-conditions for each variable type. In this paper we demonstrate the effectiveness of our method on a nontrivial data-transfer protocol, which contains a mixture of integer and Boolean-valued varia...","1998-03-13"
31,8239,"Estimating the Accuracy of Learned Concepts","Charles Elkan; Timothy L. Bailey;","This paper investigates alternative estimators of the accuracy of concepts learned from examples. In particular, the cross-validation and 632 bootstrap estimators are studied, using synthetic training data and the foil learning algorithm. Our experimental results contradict previous papers in statistics, which advocate the 632 bootstrap method as superior to cross validation. Nevertheless, our results also suggest that conclusions based on cross-validation in previous machine learning papers are unreliable. Specifically, our observations are that (i) the true error of the concept learned by foil from independently drawn sets of examples of the same concept varies widely, (ii) the estimate of true error provided by cross-validation has high variability but is approximately unbiased, and (iii) the 632 bootstrap estimator has lower variability than cross-validation, but is systematically biased. 1 Introduction The problem of concept induction (also known as the classification problem [ K...","1995-02-12"
32,8373,"Acting Optimally in Partially Observable Stochastic Domains","Anthony R. Cassandra; Kaelbling Michael; L. Littman; Leslie Pack;","In this paper, we describe the partially observable Markov decision process (pomdp) approach to finding optimal or near-optimal control strategies for partially observable stochastic environments, given a complete model of the environment. The pomdp approach was originally developed in the operations research community and provides a formal basis for planning problems that have been of interest to the AI community. We found the existing algorithms for computing optimal control strategies to be highly computationally inefficient and have developed a new algorithm that is empirically more efficient. We sketch this algorithm and present preliminary results on several small problems that illustrate important properties of the pomdp approach. Introduction Agents that act in real environments, whether physical or virtual, rarely have complete information about the state of the environment in which they are working. It is necessary for them to choose their actions in partial ignorance and o...","1995-10-20"
33,8434,"Timed and Hybrid Statecharts and their Textual Representation","A. Pnueli; Y. Kesten;",". A structured operational semantics is presented for Timed and Hybrid Statecharts, which are generalizations of the visual specification language of Statecharts intended to model real-time and hybrid systems. In order to study some of the basic features of Statecharts and the extensions necessary to treat real-time and continuous behaviors without being distracted by the graphical representation, we introduce a concurrent real-time language that can be viewed as a textual representation of Statecharts. The language contains statements for delays, preemption, and timeouts. A structured operational semantics of the language and an illustrative example of its use for specification are presented. Extensions to the specification of hybrid systems are obtained by allowing a differential equation as a statement of the extended language. Structured operational semantics is also given for the hybrid version. The same extensions are then applied to the visual Statechart language, and similar ...","1996-02-21"
34,8484,"Model Checking Large Software Specifications","David Notkin; Francesmary Modugno; Jon D. Reese; Paul Beame; Richard J. Anderson; Steve Burns; William Chan;","In this paper we present our results and experiences of using symbolic model checking to study the specification of an aircraft collision avoidance system. Symbolic model checking has been highly successful when applied to hardware systems. We are interested in the question of whether or not model checking techniques can be applied to large software specifications. To investigate this, we translated a portion of the finitestate requirements specification of TCAS II (Traffic Alert and Collision Avoidance System) into a form accepted by a model checker (SMV). We successfully used the model checker to investigate a number of dynamic properties of the system. We report on our experiences, describing our approach to translating the specification to the SMV language and our methods for achieving acceptable performance in model checking, and giving a summary of the properties that we were able to check. We consider the paper as a data point that provides reason for optimism about the potentia...","1997-11-27"
35,8668,"Higher-Order Logic Programming","Dale Miller; Gopalan Nadathur;","ly, if a tactic R holds of G1 and G2, i.e., if (R G1 G2) is solvable from a presentation of primitive tactics as a set of definite clauses, then satisfying the goal G2 in the object-language should suffice to satisfy goal G1. An illustration of these ideas can be provided by considering the task of implementing a proof procedure for propositional Horn clauses. For simplicity of presentation, we restrict the proposi51 type p g. type q g. type r g. type s g. type cl1tac g -? g -? o. type cl2tac g -? g -? o. type cl3tac g -? g -? o. type cl4tac g -? g -? o. (cl1tac p (andgoal r s)). (cl2tac q r). (cl3tac s (andgoal r q)). (cl4tac r truegoal). Figure 5: A tactic-style encoding of some propositional definite clauses tional goal formulas that will be considered to be conjunctions of propositions. The objective will, of course, be to prove such formulas. Each primitive object-level goal therefore corresponds to showing some atomic proposition to be true, and such a goal might be encoded by a...","1995-02-21"
36,8750,"The Nonapproximability of OBDD Minimization","Detlef Sieling;","The size of Ordered Binary Decision Diagrams (OBDDs) is determined by the chosen variable ordering. A poor choice may cause an OBDD to be too large to fit into the available memory. The decision variant of the variable ordering problem is known to be NP -complete. We strengthen this result by showing that for each constant c ? 1 there is no polynomial time approximation algorithm with the performance ratio c for the variable ordering problem unless P = NP . This result justifies, also from a theoretical point of view, to use heuristics for the variable ordering problem. 1 Introduction Ordered Binary Decision Diagrams (OBDDs) are the state-of-the-art data structure for Boolean functions in programs for problems like logic synthesis, model checking or circuit verification. The reason is that many functions occurring in such applications can be represented by OBDDs of reasonable size and that for operations on Boolean functions like equivalence test or synthesis with binary operators eff...","1998-01-19"
37,9181,"Temporal Deductive Databases","Marianne Baudinet;","We survey a number of approaches to the problem of finite representation of infinite temporal extensions. Two of them, Datalog 1S and Templog, are syntactical extensions of Datalog ; the third is based on repetition and arithmetic constraints. We provide precise characterizations of the expressiveness and the computational complexity of these languages. We also describe query evaluation methods. 1 Introduction In a historical database, the information that is stored includes temporal attributes. These attributes indicate when (at what time) the information is valid. Within this context, many options are available. The temporal information can be attached to small or large chunks of data, the underlying time model can be discrete or continuous, and the time model can be based on time points or on time intervals. However, whichever of these options are selected, the choice of a representation for the extension of the temporal attributes remains a fundamental issue. To appear in: A. T...","1992-10-14"
38,9581,"Residuation and Guarded Rules for Constraint Logic Programming","Gert Smolka;","A major difficulty with logic programming is combinatorial explosion: since goals are solved with possibly indeterminate (i.e., branching) reductions, the resulting search trees may grow wildly. Constraint logic programming systems try to avoid combinatorial explosion by building in strong determinate (i.e., non-branching) reduction in the form of constraint simplification. In this paper, we present two concepts, residuation and guarded rules, for further strengthening determinate reduction. Both concepts apply to constraint logic programming in general and yield an operational semantics that coincides with the declarative semantics. Residuation is a control strategy giving priority to determinate reductions. Guarded rules are logical consequences of programs adding otherwise unavailable determinate reductions. R esum e Une difficulte majeure rencontree en programmation logique est l'explosion combinatoire : puisque les buts sont resolus selon des reductions potentiellement indetermine...","1995-04-20"
39,9721,"Formalizing Space Shuttle Software Requirements","Ben L. Di Vito; Judith Crow;","This paper describes two case studies in which requirements for new flight-software subsystems on NASA's Space Shuttle were analyzed, one using standard formal specification techniques, the other using state exploration. These applications serve to illustrate three main theses: (1) formal methods can complement conventional requirements analysis processes effectively, (2) formal methods confer benefits regardless of how extensively they are adopted and applied, and (3) formal methods are most effective when they are judiciously tailored to the application. 1 Introduction Although Space Shuttle flight software is generally considered exemplary among NASA software development projects, requirements analysis and quality assurance in early lifecycle phases still use products and tools dating from the late 1970s and early 1980s. As a result, these analysis and assurance activities remain largely manual exercises lacking well-defined methods or techniques. At the same time, Shuttle flight s...","1970-01-01"
